CvsB,CvsT,TvsB,CvsB|CvsT,CvsB|TvsB,CvsT|TvsB
84319-AS3,SLC8A1-IT5,APOL6-OT2,NR_027166.1,NR_002766.2,NR_131223.1
DMD-IT3,SYAP1-OT3,COLGALT1-OT2,NR_027163.1,MED13L-OT4,XR_007062822.1
DMD-IT2,LINC42,LINC528,LINC584,XR_007059558.1,RUNX1-IT4
RUNX1-IT6,NUFIP2-OT1,HSD17B12-OT1,RUNX1-IT3,LINC849,LINC810
LINC739,LINC564,XR_930319.4,RUNX1-IT2,222229-AS1,HLA-DRB3-OT2
POPDC3-OT3,PYM1-OT1,LINC678,STRIT1-OT1,LINC24,NR_121614.1
FILIP1L-OT1,PDLIM5-OT2,XR_007061529.1,XR_001742616.2,FNDC3B-OT3,SFT2D2-OT5
LINC722,CD59-OT2,LINC20,124904581-AS2,SLC35E2B-OT1,9117-AS1
XR_007068465.1,LINC55,NR_040040.1.T1,NR_110369.1,TRPS1-IT11,XR_007068763.1
NR_026832.1,NR_171016.1.T1,PTK2B-IT2,RUNX1-IT1,LINC30,XR_007067600.1
LINC15,NSD1-IT2,XR_007061540.1,56605-AS1,HLA-DRB3-OT1,LINC921
XR_007059773.1,GPD2-IT1,NR_026731.1,NR_027158.1,SCAF11-IT3,APOL6-OT3
LINC645,XR_940181.3,LINC878,XR_002957761.2,LINC785,LINC19
XR_925763.3,LINC37,XR_937655.3,NR_015431.2,XR_001752089.3,RUNX1-IT11
DMD-IT1,LINC806,LINC582,LINC103,CDC42SE2-OT1,PPP1CB-OT1
XR_922313.3,XR_007095832.1,SMAP2-OT2,BAALC-OT1,LINC21,LINC82
NR_109853.1,NR_038225.1,HLA-DRB1-OT1,124904581-AS1,XR_007061907.1,XR_002959227.2
ITGB6-OT1,XR_007063444.1,LINC97,SEC31A-OT1,CHST15-OT3,XR_007062786.1
LINC406,LINC492,LOC124905540-IT7,NR_015381.1,XR_007068762.1,XR_007069119.1
IL17D-OT1,XR_007062723.1,PCYOX1-OT1,124904395-AS4,LINC591,LOC105376714-OT2
