isPvalue	Module	Group(Brucella)	Group(Tuberculosis)	Group(Control)
-1		Group	Group	Group
-1		Brucella	Tuberculosis	Control
0	greenyellow	 0.386818926	-0.3822307229	-0.031296104
0	blue	-0.373287549	-0.1871557095	 0.586216885
0	darkgrey	 0.008607774	-0.4643874431	 0.455185345
0	darkturquoise	-0.591676426	-0.1150800597	 0.747608766
0	tan	-0.314769640	-0.1711254021	 0.507628302
0	darkorange	 0.457903093	-0.2688590011	-0.220659996
0	darkgreen	 0.608989380	-0.3073404330	-0.343696599
0	magenta	 0.260955048	 0.4927833455	-0.771756026
0	black	 0.708039643	 0.0613570835	-0.818283301
0	white	 0.403290841	 0.2556510300	-0.686787074
0	salmon	-0.394742037	-0.1768437614	 0.598840749
0	midnightblue	-0.281714646	 0.5397485095	-0.238582885
0	cyan	-0.280595655	 0.5630540223	-0.263084650
0	grey60	-0.619876604	 0.4558241866	 0.206851777
0	brown	-0.405581340	 0.5620453920	-0.128460702
0	lightcyan	-0.476417822	 0.9046611965	-0.395349122
0	grey	 0.715374186	-0.2650411601	-0.499726014
1	greenyellow	 0.269482692	 0.2756931522	 0.931606787
1	blue	 0.288019427	 0.6046382879	 0.074901055
1	darkgrey	 0.981171889	 0.1763346355	 0.186206524
1	darkturquoise	 0.071573446	 0.7515698291	 0.012921316
1	tan	 0.375703743	 0.6364339622	 0.134180706
1	darkorange	 0.183257890	 0.4525718382	 0.540130359
1	darkgreen	 0.061662635	 0.3876795037	 0.330858458
1	magenta	 0.466471043	 0.1478694555	 0.008920556
1	black	 0.021949833	 0.8662855313	 0.003806906
1	white	 0.247825364	 0.4759026555	 0.028252693
1	salmon	 0.258940311	 0.6250270541	 0.067354930
1	midnightblue	 0.430371941	 0.1073169158	 0.506806575
1	cyan	 0.432283929	 0.0901292616	 0.462707658
1	grey60	 0.055918107	 0.1855109165	 0.566380669
1	brown	 0.244893330	 0.0908339026	 0.723583714
1	lightcyan	 0.163907347	 0.0003217245	 0.258142076
1	grey	 0.020021648	 0.4592621119	 0.141366268
