Module	Clinical	R	P
tan	1	-0.00692161884445412	0.860942004210793
tan	2	-0.101616503713634	0.00992595173891804
tan	3	0.181563336845341	3.59378922949542e-06
darkturquoise	1	0.0666611446722728	0.149910840039466
darkturquoise	2	-0.426448973430962	4.19335958551866e-22
darkturquoise	3	0.282515139404754	4.88982141503981e-10
greenyellow	1	-0.316615866494534	6.63541481681757e-11
greenyellow	2	0.235438700043804	1.61116907204316e-06
greenyellow	3	-0.683843174153895	2.85472223307965e-57
magenta	1	0.0548284236643972	0.569420930078154
magenta	2	-0.122015773627234	0.204140209157734
magenta	3	0.130693162811188	0.173542783906283
grey	1	0.550433254499661	1.87614605100347e-14
grey	2	-0.375641685646922	6.63255102952477e-07
grey	3	-0.133065406806108	0.0884096297894907
black	1	0.142977527583928	0.12912370908264
black	2	-0.486981163300998	3.92570219655064e-08
black	3	0.63622951548643	2.81142919207737e-14
blue	1	-0.214189284684595	8.62124271158243e-06
blue	2	-0.281364586057833	3.72241479003901e-09
blue	3	0.489350840526291	6.49314097128776e-27
brown	1	-0.159917879624019	0.00208992230037125
brown	2	0.032638421037808	0.53252927134654
brown	3	-0.369035571067218	2.57296517400252e-13
darkgrey	1	-0.521104500240753	1.04837534008756e-09
darkgrey	2	-0.064647507730339	0.482991148466277
darkgrey	3	0.408979382680907	3.52236907904015e-06
white	1	0.425890282609101	0.00394705527238739
white	2	-0.392719321882621	0.00836707461693085
white	3	0.566834502557313	6.03414768011425e-05
grey60	1	0.0220600371948817	0.798786082458187
grey60	2	-0.129426228471332	0.133162121644931
grey60	3	-0.0875038251411495	0.311066540939087
darkgreen	1	-0.0118478811472882	0.930297255790605
darkgreen	2	0.0138986932246114	0.918270128685282
darkgreen	3	-0.376745435880439	0.00386947662796321
cyan	1	-0.0204987769730793	0.849649249459923
cyan	2	0.181372745589165	0.0908068216368147
cyan	3	-0.171146670604961	0.110862213558512
midnightblue	1	-0.303302520839215	0.00816469221002694
midnightblue	2	0.599119099197356	1.35889509783731e-08
midnightblue	3	-0.51828246454406	1.90962232648104e-06
lightcyan	1	0.263897364579041	0.023091408590145
lightcyan	2	0.547787073685015	4.38866419609027e-07
lightcyan	3	0.143761203010982	0.221712997651695
darkorange	1	0.321874006813439	0.0310694902104621
darkorange	2	-0.300140043919925	0.0451566886201495
darkorange	3	-0.425264308312729	0.00358978951856267
salmon	1	-0.30114804893436	0.00372311797041742
salmon	2	-0.212878690581895	0.0427703435660138
salmon	3	-0.153427314157909	0.146506395871018
