Gene	Module	R	pvalue
84808	tan	0.840552192948584	0.00232188290907378
388581	darkturquoise	0.7152658460386	0.0200492434360062
643965	darkturquoise	0.787236420978767	0.00687310483172502
339456	tan	0.821486365115546	0.00356012018001585
388588	greenyellow	0.889797841282187	0.000563790477088467
83715	greenyellow	0.87308917189718	0.000971070459163608
3604	magenta	0.935036044934949	7.20116487564877e-05
155184	grey	-0.381876867119537	0.276175323322207
10218	black	-0.745350361385472	0.0133501448778146
26232	blue	0.896304432132415	0.0004455810772904
390999	darkturquoise	0.856490363691812	0.00155482479424396
126755	black	-0.844112610335691	0.00213097590729798
284723	tan	0.928629280476552	0.000104080409077307
6248	tan	0.756189243254937	0.011379794492284
27129	tan	0.882501671408888	0.000721966272041985
23400	grey	0.693312669094547	0.0262007492576803
11240	tan	0.756723806702316	0.0112882590369492
353238	blue	0.942060849402514	4.59564612619916e-05
23569	greenyellow	0.936650380104721	6.52454910299573e-05
127707	magenta	-0.822925448105705	0.00345307100193074
5081	tan	0.874913383397311	0.000918535355536376
5320	magenta	-0.835564660310636	0.00260966473886874
163933	black	-0.868076915325402	0.00112667264552052
249	black	0.618060774548384	0.0568505474756105
5909	greenyellow	0.908668474184256	0.000272301620094246
6920	blue	0.779890424292585	0.00779767059366715
3399	grey	0.508776315053129	0.133155919487859
1870	blue	0.980416727259783	6.28458292802855e-07
127294	greenyellow	-0.695822818309869	0.0254394196601637
6007	greenyellow	0.860883327754115	0.00138066265527513
6006	greenyellow	0.905983593797439	0.000304742984797626
79000	greenyellow	0.925126399998523	0.000125524322824221
84676	tan	0.930298601565796	9.48740961271268e-05
2134	darkturquoise	0.836603663573681	0.00254770512386372
10256	tan	0.710619299057549	0.0212576918436364
115572	black	-0.768788468410107	0.00935719209611585
84958	greenyellow	0.741990152967639	0.0140064642053146
22826	grey	0.202888804970591	0.57400325717428
4985	darkturquoise	0.84361622219708	0.00215688563846282
2035	greenyellow	0.937351126306238	6.24599061873023e-05
79570	tan	0.855285299771995	0.00160525853069851
2170	tan	0.722397407376071	0.0182882021617152
90853	magenta	0.882459920119898	0.000722955135094162
3061	darkturquoise	0.892034288906491	0.000520852278119953
1307	magenta	0.811372246092615	0.00438080165548442
79140	brown	-0.640199219474401	0.0461656542292577
252995	tan	0.953223374688021	1.97926808990133e-05
84970	darkturquoise	0.898602668343482	0.000408541679096585
63967	greenyellow	0.700074150399528	0.0241848337962093
2899	blue	0.80048561573434	0.00540659831349355
84618	tan	0.939491956450331	5.44931736868531e-05
656	grey	0.321530152100637	0.364966674333717
1298	blue	0.744636610083597	0.0134877170914795
1907	darkturquoise	0.848754820342642	0.0018994301746034
284716	magenta	-0.862934517881606	0.00130439421101605
4352	darkgrey	0.774019344466964	0.00859736026096836
6536	greenyellow	0.924790479483595	0.000127739233170109
8643	greenyellow	0.651965911397424	0.0410757301132307
7389	greenyellow	0.93419957832048	7.57148436230129e-05
84842	greenyellow	0.823354430806417	0.00342161252999293
1580	tan	0.958446273886083	1.2404967087183e-05
10158	greenyellow	0.848502507574029	0.00191152410600612
6886	greenyellow	0.909850996688729	0.00025885018896026
79699	tan	0.954152871335365	1.82864921634597e-05
1733	blue	-0.555850213165081	0.0952391626531234
255738	blue	0.863540228109641	0.00128247012464217
5563	darkturquoise	0.831318067179751	0.00287423631283099
732	blue	0.926247504175151	0.000118336982592737
3725	white	0.860550563482335	0.00139333395083064
1573	tan	0.889600786082012	0.000567693930578569
55277	tan	0.794592951863797	0.0060280097843871
4774	magenta	-0.898167761687632	0.000415370874309617
10207	tan	0.845318658601154	0.00206896198891713
5236	darkturquoise	0.843079116201716	0.00218517618695674
4919	blue	0.86619640713566	0.0011894762127452
205	grey	-0.654014576849044	0.0402299516958996
9829	greenyellow	0.870820130974114	0.00103942935479102
9077	greenyellow	-0.668500750627071	0.0345817978246195
257194	grey60	0.748182160277092	0.0128139933916882
81849	greenyellow	-0.403036425844963	0.248152239624887
26289	grey	0.472274507928358	0.168126197906732
91624	tan	0.864095589412654	0.00126260480604094
79739	tan	0.90771776252934	0.000283483106847621
55283	blue	0.831930373703687	0.00283494776361929
84144	darkgrey	0.838177333048202	0.00245589062121496
8915	darkturquoise	-0.73578904279897	0.0152762810625103
164045	darkturquoise	0.876584691536085	0.000872249968640366
148534	darkgrey	0.93197721064918	8.62376342403041e-05
178	tan	0.943889806720721	4.05133925803863e-05
127495	tan	0.968576097946186	4.10720939338868e-06
7412	black	0.805171515114235	0.00494615281098835
653149	magenta	0.815065022883135	0.00406698061968809
284612	tan	0.936249200122845	6.68810300560728e-05
2946	tan	0.869242369382731	0.00108898185809853
389	magenta	0.907597748307172	0.000284918211596399
440603	greenyellow	0.8810388068985	0.000757207086774606
56944	blue	-0.815863706855673	0.00400128621467784
270	tan	0.8893355893489	0.000572978351144885
163259	tan	0.94052454777845	5.09320174706898e-05
10100	greenyellow	0.684414091925581	0.0290252930559309
4803	blue	0.896486484473726	0.000442560654677341
4808	darkturquoise	0.925619945441089	0.000122321675661597
80263	darkgrey	0.944038433692235	4.00931406585351e-05
51179	brown	0.729854276323922	0.0165646703554305
3158	tan	0.934798833577096	7.30479023592831e-05
8515	blue	0.897399793263095	0.000427633860902978
5565	tan	0.757794995606143	0.0111063935504157
9659	greenyellow	-0.745581789873411	0.0133057496601596
317772	greenyellow	0.781908185858659	0.00753544612478024
440689	greenyellow	0.941385142181026	4.80982340384915e-05
554313	greenyellow	0.93531505769109	7.08067472875376e-05
126961	greenyellow	0.818507325178668	0.00378925856526164
8337	greenyellow	0.837864705340037	0.00247393754714786
8370	greenyellow	0.923521845712894	0.000136364906473334
333932	greenyellow	0.815926060701386	0.00399618960936845
723790	greenyellow	0.851498811062557	0.00177145233172819
8349	greenyellow	0.917136819659656	0.000186454158917574
1513	greenyellow	-0.695151255346177	0.0256415985634102
10962	tan	0.865613626717933	0.00120944541969963
10500	tan	0.920159083775175	0.000161306192513483
29765	tan	0.98243654364713	4.07600924842877e-07
8991	greenyellow	0.879457406647285	0.000796698065992187
388698	grey60	0.872732120322013	0.000981603612143907
6273	black	-0.73180152872388	0.0161339203838435
6279	greenyellow	0.894102488565392	0.000483321149152183
6283	greenyellow	0.957688596733567	1.33224598550883e-05
6280	greenyellow	0.89632891314235	0.000445174037594605
