V1	V2	V3	V4	V5
3126	C2			0
6941	C5			0
114118903.G1	C6			0
728841.G1	C13			0
79585	C15			0
NR_037882.1	C16			0
3918	C18			0
1551	C21			0
6447	C22			0
XR_007068762.1	C24			0
XR_001739880.2	C26			0
2550.G4	C28			0
3122	C30			0
UBE2E2-IT6	C31			0
RPL7L1-OT2	C34			0
XR_007058134.1	C36			0
NR_103447.1	C37			0
XR_002956900.2	C40			0
6890.G2	C43			0
WAC-IT3	C44			0
328.G1	C46			0
5698.G2	C48			0
FNBP1-IT3	C49			0
6891.G5	C53			0
XR_007063448.1	C55			0
23399.G1	C57			0
6992.G4	C58			0
56344	C60			0
NR_109853.1	C61			0
NR_110225.1	C64			0
NR_037928.1	C65			0
6891	C68			0
NR_164308.1	C69			0
CCDC93-IT2	C71			0
RUNX1-IT1	C73			0
NR_110479.1	C75			0
ASAP1-OT5	C77			0
ETV6-IT1	C80			0
NR_110703.2	C81			0
XR_002958821.2	C83			0
NR_015431.2	C85			0
10288.G1	C87			0
NR_146309.1	C89			0
SLC16A10-IT1	C91			0
XR_928459.4	C93			0
4049.G1	C95			0
XR_007061692.1	C97			0
XR_002958732.2	C99			0
XR_001755780.2	C101			0
XR_001745858.2	C103			0
PDLIM5-OT2	C105			0
TCTA-OT1	C107			0
CYRIB-IT4	C109			0
BRI3BP-OT1	C111			0
NR_073566.1	C113			0
MARCO-IT1	C115			0
NR_146593.1	C117			0
FNBP1-IT2	C119			0
APLN-OT1	C121			0
RUNX1-IT5	C123			0
OPA3-OT2	C125			0
NFIX-OT1	C127			0
7156.G1	C130			0
LINC18	C131			0
54862	C134			0
XR_007059755.1	C135			0
NDUFB1-IT1	C137			0
23360.G1	C139			0
XR_007096151.1	C141			0
4901.G1	C144			0
LOC105376714-OT2	C145			0
284323.G1	C147			0
XR_922307.2	C149			0
81	C151			0
66035	C153			0
XR_007059765.1	C154			0
3127	C156			0
55233	C158			0
NR_130925.1	C160			0
NR_152515.1	C162			0
3784.G1	C164			0
9278.G1	C167			0
9278.G2	C168			0
50814.G1	C170			0
200958.G5	C171			0
64393	C173			0
3117.G3	C177			0
10168.G1	C180			0
54535.G5	C181			0
50506	C183			0
3109.G2	C185			0
3119.G3	C187			0
6941.G6	C189			0
5987.G3	C191			0
3119.G1	C193			0
26046	C195			0
NR_038315.1	C196			0
10537.G1	C198			0
25994	C201			0
441273-AS1	C203			0
57491	C205			0
3108	C206			0
6714.G1	C209			0
11072	C211			0
3191	C212			0
25834	C214			0
3106.G5	C216			0
3119.G5	C218			0
6222.G3	C220			0
COLGALT1-OT2	C222			0
2483.G1	C224			0
COLGALT1-OT1	C226			0
RAP2B-OT1	C229			0
SYAP1-OT1	C230			0
NHSL2-OT1	C232			0
641700	C235			0
ETS1-OT1	C236			0
93100.G1	C239			0
SGTB-OT1	C240			0
64220.G1	C243			0
TSN-OT1	C244			0
3133.G3	C246			0
MAML2-OT3	C247			0
79792.G1	C250			0
XR_936693.3	C252			0
3119.G4	C254			0
8578	C256			0
54891.G1	C257			0
ALG1-OT1	C260			0
26973.G1	C262			0
51149.G1	C264			0
6999	C265			0
92259.G1	C269			0
