Tag	brucella1	brucella2	brucella3	brucella4	TB1	TB2	TB3	control1	control2	control3
84808	0	3.858529244	2.278603717	2.884490729	2.459951213	3.223769743	3.224826494	5.314430966	2.789279818	9.355721438
388581	0	1.626204824	0	0	1.703106748	2.235581664	3.611546134	4.021089821	0	4.123641121
643965	2.727254644	3.051533065	3.412187567	1.891891533	3.95852163	3.984604473	4.541445871	5.268622207	2.981579818	5.48993999
339456	1.605829694	4.445355048	4.411546563	3.051074727	2.952868798	3.70552341	0	2.19264468	0	9.800313504
388588	3.851767331	8.870243565	3.274035341	4.916087421	3.474738419	4.593225724	0.930836431	6.842124961	3.887694977	4.34843318
83715	1.226766948	8.929927995	4.409651417	5.330514116	2.136252039	4.285751516	3.069317705	8.822396407	3.681393869	4.24831204
3604	9.218973533	7.595940609	9.052032987	9.706671438	9.654594613	10.27586232	10.34650893	6.672346797	9.395709742	6.03915846
155184	1.611705986	0.012887805	1.958529681	0	3.141150024	3.225181773	4.072981648	2.985937324	0	0.089097886
10218	3.780815672	1.629314406	6.216852186	0	6.328132016	1.500467428	2.227882275	5.356358446	6.372402919	8.586486795
26232	2.870930954	4.514212079	5.757476293	3.875169751	4.68035105	5.250727229	3.983514058	9.714264471	5.189727066	4.614840021
390999	0	1.626863916	0	0	3.719161004	2.495574475	2.234944211	3.671536615	1.569429321	4.231117026
126755	5.256606718	1.629382609	3.122721938	0	4.402505635	2.899753332	5.354906858	5.226664247	3.151352978	8.41071966
284723	5.802791304	5.889008283	6.341641357	6.262871978	5.247063432	6.445821491	5.7000974	5.512793009	5.624041335	10.77856948
6248	5.299922268	6.431354096	6.358649828	5.936676876	6.620500622	5.913701955	6.686617182	7.160439595	7.310933489	8.405924944
27129	6.590811985	6.743099351	3.651830898	8.817679024	9.206788324	7.797217297	6.673148131	8.201993412	6.487870334	15.17013426
23400	10.04049769	7.405454858	0	9.461664643	2.729772175	0	7.061545973	0	0	0
11240	10.61390696	12.13910374	9.928848389	10.16015316	9.953979256	11.82288918	9.402934866	10.88916715	10.02841594	14.05553512
353238	0	0	0	0	0	0	0	4.737677792	0	1.950905491
23569	2.874230136	13.05324062	4.535162614	7.400765225	5.833309036	5.317993948	3.597711301	12.20355083	4.439998469	4.44201289
127707	0	3.220459847	4.345781941	2.692824046	2.133957048	2.229028483	2.712188282	6.007400186	3.440558733	5.30482427
5081	2.167642228	2.046559772	1.958206334	0	4.669656161	3.361182652	0	4.222064982	2.304701031	9.660261716
5320	6.321847246	8.993435027	8.733467733	2.689867232	8.296771099	1.910064068	8.309292687	12.13520801	6.898892141	10.34489996
163933	4.056417882	2.858869815	2.761075128	5.043970798	4.799464254	3.895783031	4.480852789	7.639118103	6.046211312	7.714120369
249	10.64501393	10.80262877	10.17872101	13.70171337	12.8132878	10.92473165	11.75102711	8.888867438	10.62469239	8.677759137
5909	3.127583373	8.576045405	5.341892219	4.679523202	4.327246192	4.477995297	2.709189038	7.048131623	3.681369557	4.970768202
6920	0	0.009212804	0	0	0.026554719	0	3.620303919	4.91511182	0	0.122553886
3399	0	0.015495661	0	10.27028439	0.045499184	0	0	0.065836269	10.05409794	0.138537673
1870	0	0	0	0	0	0	0	10.57609893	0	0.138693702
127294	7.931054674	3.052225694	7.408396244	7.312592236	7.975835938	6.632178867	6.774481632	6.621615411	7.199176768	12.94470464
6007	7.149599019	11.41773454	6.252881	5.914648861	4.617624805	6.821240421	6.301330846	9.527430767	7.741537285	6.521782977
6006	2.163904483	11.81886597	4.650477838	4.778887366	5.833382526	3.356618048	2.709882985	10.11628347	4.624316137	5.308547773
79000	5.837897492	9.566464068	4.409648454	5.598538007	4.859533704	6.080811494	3.982910875	7.294327154	4.372871151	3.895415827
84676	1.916497316	2.046339257	3.413993065	1.485782131	4.537078011	0	0	3.38416277	2.304740099	10.7706159
2134	2.372075969	4.698895015	4.650825091	4.872850526	6.568116513	4.142304086	1.909853174	7.745485482	1.983467654	8.086340274
10256	2.871173575	6.413869866	7.8008857	5.958024517	5.832963887	5.284136925	6.042171663	5.084135857	7.024411851	10.01888647
115572	5.527080782	1.629377952	3.85838169	4.681671301	3.149343547	3.703591292	4.28842272	7.337772578	4.068154185	7.262944464
84958	8.357485058	10.76856725	9.341068912	8.209057049	7.571727814	8.234445936	8.00510614	9.936309564	9.013375153	5.257481472
22826	9.109655879	9.106748333	9.520480051	11.54141899	8.870041002	10.07734274	8.608937507	10.38571693	11.33527601	11.03576321
4985	0	3.512176117	3.652604284	3.050105605	5.476120122	3.983972133	1.909910753	5.780986114	3.980760063	6.035040472
2035	12.11891348	15.28567834	12.75784317	12.26150556	11.8607449	12.46544808	11.74128645	13.89502406	12.8510541	12.45203332
79570	2.379603315	3.510828111	0	3.05259404	3.84790426	3.899437648	1.910864239	2.791490474	3.681386693	8.601355836
2170	7.052584574	8.899120819	7.831530562	7.869431139	4.914112896	7.618298822	7.010631208	7.895698499	6.319933755	11.70297251
90853	7.557225133	5.341450233	5.341795542	8.905454301	8.051063023	8.817997195	7.984221239	4.616153428	6.337782242	5.355383145
3061	1.605702517	4.140416237	2.53988656	1.48445518	4.795785507	3.483544147	3.359479685	4.979087654	3.151316044	6.0330467
1307	12.6127871	8.767695838	11.49365068	12.91877445	12.21309083	10.03461919	11.89813155	7.745988093	11.26648789	9.120608968
79140	8.052669776	7.313976616	5.67726291	8.127025662	3.149935203	5.38343225	5.892313619	11.02523008	5.067785265	7.909255669
252995	3.706216027	4.513747584	4.343409679	4.26737786	5.155914515	3.481970906	2.227964283	5.271049577	3.303278401	11.11185621
84970	0	0.009576262	0	0	3.579478948	1.509867719	0	3.672040897	2.567275329	4.124721369
63967	8.895394457	11.53417991	8.247990936	9.19324881	8.493529339	9.702188484	8.350727235	8.538597201	8.34630399	5.945686367
2899	5.666212506	6.078753696	6.73039988	7.513451861	6.929967275	7.25684984	8.609246423	10.44138357	7.355035952	6.313091782
84618	2.15871883	3.861487943	5.079465833	4.266246984	5.913377353	5.102507164	4.981772043	5.782459749	3.566092045	12.81828819
656	10.29851356	8.725766077	7.187300873	9.588428277	10.96934957	9.003787682	10.19381417	7.32786822	8.242082018	7.875259606
1298	7.631476602	9.051209177	9.829879814	7.54884913	7.85587841	8.193965026	8.56375386	11.72576339	8.982758142	7.011352204
1907	0	0	0	0	0	0	0	6.031652346	0	3.753195511
284716	4.567294634	6.714464975	5.271581209	5.363092353	6.955277753	4.536827568	6.177941268	8.056507921	5.787508452	7.849390507
4352	5.191058002	9.092755348	5.593253903	5.000762444	4.859497513	3.981735347	4.216675225	7.171155758	1.569578218	6.453520143
6536	8.583246651	12.21712154	8.902942317	8.657014905	8.405776494	6.912836535	8.652807172	10.44020994	8.088491132	8.035551626
8643	6.173065058	9.412141829	8.057389404	7.99867121	6.637479158	7.03004296	5.416231605	6.476728285	6.680521154	7.374736949
7389	10.75499564	13.73259066	10.61491861	10.91197653	10.07871398	11.07170573	10.50399719	11.38701382	10.43525563	10.28890562
84842	4.283234713	6.43040209	4.705354431	4.517512677	2.955575094	3.068284497	2.709057654	5.779352647	3.151328629	4.689746329
1580	0	1.620696345	0	0	2.428819133	0	1.516294283	0.064874207	0	7.623683282
10158	4.522805922	9.624633429	5.119541128	6.377813436	3.321330666	2.708395532	3.802939933	9.221734953	1.569682553	5.496171568
6886	8.508971305	13.40664928	7.897176961	8.562602916	7.777137259	6.548871584	8.226696004	9.858198061	7.479837036	8.577319017
79699	11.28928155	11.43145285	11.27287092	10.92964893	11.42908171	11.40760094	11.62073393	11.02375322	11.53546909	13.8959133
1733	3.010386745	2.371127544	0	2.881626843	4.400202525	4.754205356	3.985621746	0.056885579	3.441302898	3.732598598
255738	1.90843189	4.51337392	3.652480404	4.197872061	4.47582011	3.704202443	3.598685498	7.586102333	2.9815888	3.895458674
5563	4.880995712	5.44782299	4.409919735	4.122030646	6.585387444	0	3.8959997	8.359817165	5.406516542	13.69664571
732	0	2.363753204	1.962975291	1.494930557	2.440923049	0	0	8.565049548	0	2.389842768
3725	11.50974029	13.65641952	13.6469472	14.27909787	13.30869645	12.22082771	11.49750828	8.924195806	11.71251487	11.68574902
1573	1.60628567	3.637094267	1.545433322	1.484600974	4.674204865	3.599306482	3.485201247	0.065875387	2.567270238	10.33053733
55277	8.985395157	8.98762527	10.12739099	9.429395306	9.819167499	9.741767742	9.122451423	10.38064183	10.13094639	11.61980034
4774	11.20945255	13.52826128	12.28043892	11.96201648	11.28312725	10.64064641	11.83068244	13.5993921	11.83322988	14.03643813
10207	9.4139317	9.90554004	10.47031834	9.188739957	9.770086432	9.016751662	9.798080538	10.34334582	10.49365428	12.31851309
5236	10.2678966	11.05624009	9.986257922	10.69552497	10.28565039	10.49821694	10.44189356	12.31779865	9.929756634	13.37121402
4919	9.703754071	8.226774989	10.01883711	9.948498257	10.97820163	8.269498021	10.92182074	13.99744034	9.808067652	11.48660629
205	9.955365588	8.85130913	9.510964162	8.980203354	10.05914075	11.10670103	11.80887927	10.57631648	10.45667387	11.65037391
9829	6.853228098	11.47685767	6.867814867	7.278821343	7.322103569	6.350168552	7.257850005	9.950057404	6.609405322	8.653169086
9077	7.267775	3.638721796	6.456838933	8.96983922	10.54199011	7.820980786	6.834197564	4.222237143	5.980204886	6.756805255
257194	7.874243454	7.474610125	8.690243471	7.908189618	10.88035945	6.429848893	8.071272125	8.230500223	8.937046477	11.3936106
81849	4.051049978	1.62898058	6.271272681	3.048818964	7.902483038	5.177438154	5.915000704	9.034549337	8.242071385	6.500004456
26289	6.73275168	6.143906919	5.408886945	10.54063697	9.054399527	9.318442167	8.275044086	5.35623616	6.471953775	7.675046086
