Power	SFT.R.sq	slope	truncated.R.sq	mean.k.	median.k.	max.k.	SFTR2
1	0.459115685787329	2.17157655857119	0.870639875668015	1210.92453092234	1218.31505286788	1681.85413386844	-0.459115685787329
2	0.0358834079170382	0.252541713839876	0.596204437523301	631.877292741537	626.98682891153	1082.0440452162	-0.0358834079170382
3	0.040527424337861	-0.227005452725056	0.584168522672173	396.773907194741	387.35586600466	788.201193928039	0.040527424337861
4	0.234465238677955	-0.519007805255265	0.672085527291025	277.056986328585	277.141850977951	622.349137945146	0.234465238677955
5	0.420108530659313	-0.719602307833371	0.780142339738963	207.038716205721	202.344798171702	518.68964281002	0.420108530659313
6	0.541658677449384	-0.840398050830589	0.8134011201602	162.147160418076	152.984356364069	445.049550084872	0.541658677449384
7	0.616074213002157	-0.872601824096535	0.791469474003316	131.44093372363	120.228654350922	389.475768343146	0.616074213002157
8	0.664176861778557	-0.945949062711692	0.812084331977275	109.407559116112	95.1723879255379	348.706878748824	0.664176861778557
9	0.676932206430745	-0.999436573045969	0.800680054345069	93.0042062148839	76.7507370912343	317.147400606955	0.676932206430745
10	0.679128165714367	-1.06187699806524	0.758806174515894	80.4298031773723	62.9686688923675	291.143043994923	0.679128165714367
12	0.735612192050617	-1.11263304786254	0.754885359325798	62.6529493207129	44.3587082856346	250.817584397545	0.735612192050617
14	0.762702535909105	-1.11557116469842	0.740243561614514	50.8967831585052	32.8740161742915	221.902466795729	0.762702535909105
16	0.790999258097228	-1.11577903959478	0.739531844909914	42.6831287105245	25.1795214745594	201.622438114461	0.790999258097228
18	0.842031660660892	-1.09055280598415	0.798242860980924	36.6971368330941	19.3244914309375	185.724114588917	0.842031660660892
20	0.859854321969684	-1.06138039076818	0.846975491533753	32.1855940458941	14.9956725424103	172.962641858796	0.859854321969684
22	0.84439606393821	-1.06349730166638	0.849313344075963	28.690640923033	11.9550833338852	162.517133673567	0.84439606393821
24	0.835131342312854	-1.05341112808188	0.865629870557358	25.9204238306409	9.76962339716201	154.481542979952	0.835131342312854
26	0.814285768188377	-1.04488202038004	0.864748841495251	23.6815149277875	8.07441468037971	147.84549346689	0.814285768188377
28	0.790254360757352	-1.03864250873166	0.860661311685187	21.8414682562452	6.68846246497593	142.230818067693	0.790254360757352
30	0.787540489287503	-1.03260374878374	0.869995760039572	20.3070422236671	5.58439962873825	137.427695860241	0.787540489287503
