Gene	dynamicModule	mergeModule
84808	turquoise	tan
388581	purple	darkturquoise
643965	purple	darkturquoise
339456	turquoise	tan
388588	yellow	greenyellow
83715	yellow	greenyellow
3604	magenta	magenta
155184	grey	grey
10218	black	black
26232	blue	blue
390999	red	darkturquoise
126755	black	black
284723	turquoise	tan
6248	turquoise	tan
27129	turquoise	tan
23400	grey	grey
11240	turquoise	tan
353238	blue	blue
23569	yellow	greenyellow
127707	magenta	magenta
5081	tan	tan
5320	magenta	magenta
163933	black	black
249	black	black
5909	yellow	greenyellow
6920	blue	blue
3399	grey	grey
1870	blue	blue
127294	greenyellow	greenyellow
6007	yellow	greenyellow
6006	yellow	greenyellow
79000	greenyellow	greenyellow
84676	turquoise	tan
2134	green	darkturquoise
10256	turquoise	tan
115572	black	black
84958	greenyellow	greenyellow
22826	grey	grey
4985	red	darkturquoise
2035	yellow	greenyellow
79570	turquoise	tan
2170	turquoise	tan
90853	magenta	magenta
3061	red	darkturquoise
1307	magenta	magenta
79140	pink	brown
252995	turquoise	tan
84970	red	darkturquoise
63967	greenyellow	greenyellow
2899	blue	blue
84618	turquoise	tan
656	grey	grey
1298	blue	blue
1907	purple	darkturquoise
284716	magenta	magenta
4352	darkgrey	darkgrey
6536	yellow	greenyellow
8643	lightgreen	greenyellow
7389	yellow	greenyellow
84842	yellow	greenyellow
1580	turquoise	tan
10158	yellow	greenyellow
6886	yellow	greenyellow
79699	turquoise	tan
1733	blue	blue
255738	blue	blue
5563	darkturquoise	darkturquoise
732	blue	blue
3725	white	white
1573	turquoise	tan
55277	turquoise	tan
4774	magenta	magenta
10207	turquoise	tan
5236	purple	darkturquoise
4919	blue	blue
205	grey	grey
9829	yellow	greenyellow
9077	yellow	greenyellow
257194	grey60	grey60
81849	greenyellow	greenyellow
26289	grey	grey
91624	turquoise	tan
79739	turquoise	tan
55283	blue	blue
84144	lightyellow	darkgrey
8915	purple	darkturquoise
164045	darkred	darkturquoise
148534	darkgrey	darkgrey
178	turquoise	tan
127495	turquoise	tan
7412	black	black
653149	magenta	magenta
284612	turquoise	tan
2946	turquoise	tan
389	magenta	magenta
440603	yellow	greenyellow
56944	blue	blue
270	turquoise	tan
163259	turquoise	tan
10100	yellow	greenyellow
4803	blue	blue
4808	green	darkturquoise
80263	lightyellow	darkgrey
51179	brown	brown
3158	turquoise	tan
8515	blue	blue
5565	turquoise	tan
9659	greenyellow	greenyellow
317772	greenyellow	greenyellow
440689	greenyellow	greenyellow
554313	greenyellow	greenyellow
126961	greenyellow	greenyellow
8337	greenyellow	greenyellow
8370	greenyellow	greenyellow
333932	greenyellow	greenyellow
723790	greenyellow	greenyellow
8349	yellow	greenyellow
1513	yellow	greenyellow
10962	turquoise	tan
10500	turquoise	tan
29765	turquoise	tan
8991	yellow	greenyellow
388698	grey60	grey60
6273	black	black
6279	greenyellow	greenyellow
6283	yellow	greenyellow
6280	greenyellow	greenyellow
6271	green	darkturquoise
5872	black	black
91181	tan	tan
7170	turquoise	tan
1196	red	darkturquoise
5313	lightgreen	greenyellow
128240	darkgreen	darkgreen
54865	grey	grey
63827	green	darkturquoise
1382	grey	grey
3645	brown	brown
440695	white	white
922	yellow	greenyellow
391109	royalblue	grey60
391112	brown	brown
6708	yellow	greenyellow
128372	yellow	greenyellow
81442	yellow	greenyellow
89886	darkturquoise	darkturquoise
477	turquoise	tan
844	turquoise	tan
55600	lightyellow	darkgrey
9507	yellow	greenyellow
2207	darkturquoise	darkturquoise
257177	blue	blue
2212	cyan	cyan
2213	magenta	magenta
2214	darkturquoise	darkturquoise
4009	darkred	darkturquoise
6258	turquoise	tan
5087	darkturquoise	darkturquoise
92235	turquoise	tan
84944	green	darkturquoise
92241	greenyellow	greenyellow
55827	turquoise	tan
375035	cyan	cyan
481	turquoise	tan
6401	purple	darkturquoise
6402	greenyellow	greenyellow
2328	blue	blue
2327	cyan	cyan
4653	darkturquoise	darkturquoise
92346	tan	tan
460	green	darkturquoise
9068	greenyellow	greenyellow
127665	blue	blue
2752	darkturquoise	darkturquoise
3918	midnightblue	midnightblue
10092	tan	tan
23127	purple	darkturquoise
80267	red	darkturquoise
339479	darkred	darkturquoise
5996	white	white
5997	white	white
10878	grey60	grey60
10216	magenta	magenta
779	tan	tan
91156	turquoise	tan
5317	blue	blue
7135	tan	tan
1465	greenyellow	greenyellow
149345	turquoise	tan
25802	greenyellow	greenyellow
4660	turquoise	tan
4656	turquoise	tan
8497	purple	darkturquoise
4608	turquoise	tan
1116	turquoise	tan
2331	blue	blue
5549	blue	blue
22874	turquoise	tan
6900	purple	darkturquoise
9911	yellow	greenyellow
55220	yellow	greenyellow
148808	tan	tan
1510	yellow	greenyellow
3586	purple	darkturquoise
722	blue	blue
56256	cyan	cyan
4751	greenyellow	greenyellow
467	white	white
1063	greenyellow	greenyellow
7399	pink	brown
2104	red	darkturquoise
127018	turquoise	tan
64757	darkgrey	darkgrey
79802	blue	blue
388743	blue	blue
149111	grey	grey
7044	turquoise	tan
84033	turquoise	tan
58	tan	tan
2786	brown	brown
148789	darkgreen	darkgreen
88	turquoise	tan
56776	red	darkturquoise
6000	green	darkturquoise
114548	darkturquoise	darkturquoise
343172	darkgrey	darkgrey
25893	yellow	greenyellow
343171	yellow	greenyellow
642273	blue	blue
54221	grey	grey
7173	red	darkturquoise
6201	black	black
6664	blue	blue
192668	darkturquoise	darkturquoise
729475	red	darkturquoise
7447	lightgreen	greenyellow
388931	yellow	greenyellow
114818	purple	darkturquoise
22979	black	black
56896	magenta	magenta
22924	turquoise	tan
388939	green	darkturquoise
238	magenta	magenta
6716	magenta	magenta
5212	tan	tan
391365	pink	brown
130733	grey60	grey60
91461	darkturquoise	darkturquoise
130271	darkturquoise	darkturquoise
286749	brown	brown
11036	turquoise	tan
3973	green	darkturquoise
494143	yellow	greenyellow
200504	green	darkturquoise
51449	lightcyan	lightcyan
119	yellow	greenyellow
400961	turquoise	tan
8446	darkgreen	darkgreen
55233	lightcyan	lightcyan
6869	grey60	grey60
1496	orange	blue
150572	tan	tan
344167	orange	blue
150483	purple	darkturquoise
1844	white	white
200539	turquoise	tan
51252	yellow	greenyellow
10120	grey	grey
23505	cyan	cyan
164832	darkred	darkturquoise
3899	magenta	magenta
6549	tan	tan
130827	turquoise	tan
5455	blue	blue
84417	magenta	magenta
927	blue	blue
84220	black	black
10461	magenta	magenta
3552	darkturquoise	darkturquoise
3553	darkturquoise	darkturquoise
56300	lightcyan	lightcyan
3557	darkturquoise	darkturquoise
165257	magenta	magenta
274	turquoise	tan
728378	orange	blue
55627	darkgrey	darkgrey
653269	red	darkturquoise
50649	tan	tan
53353	darkred	darkturquoise
55777	black	black
130574	red	darkturquoise
4703	turquoise	tan
114805	magenta	magenta
4929	white	white
130399	lightyellow	darkgrey
3694	turquoise	tan
2888	turquoise	tan
6332	turquoise	tan
6323	royalblue	grey60
129446	turquoise	tan
4036	red	darkturquoise
10324	tan	tan
1781	darkgreen	darkgreen
51776	turquoise	tan
1134	turquoise	tan
3238	tan	tan
50940	darkred	darkturquoise
114880	turquoise	tan
7273	turquoise	tan
151126	darkturquoise	darkturquoise
51454	turquoise	tan
30061	yellow	greenyellow
2660	turquoise	tan
8436	lightyellow	darkgrey
23314	grey	grey
66008	lightgreen	greenyellow
55437	darkgrey	darkgrey
33	darkred	darkturquoise
4632	tan	tan
151050	purple	darkturquoise
2066	tan	tan
3579	yellow	greenyellow
84812	turquoise	tan
53632	turquoise	tan
54738	turquoise	tan
7277	magenta	magenta
5798	darkgrey	darkgrey
389075	royalblue	grey60
1674	tan	tan
10290	turquoise	tan
5077	tan	tan
116255	green	darkturquoise
7857	magenta	magenta
2335	blue	blue
5270	blue	blue
57624	grey	grey
1285	turquoise	tan
6364	magenta	magenta
92737	blue	blue
257407	blue	blue
93010	blue	blue
250	blue	blue
248	blue	blue
646960	green	darkturquoise
1144	tan	tan
1146	tan	tan
80303	darkturquoise	darkturquoise
4759	red	darkturquoise
389084	blue	blue
25791	blue	blue
55355	greenyellow	greenyellow
79054	green	darkturquoise
10123	purple	darkturquoise
57007	black	black
64284	green	darkturquoise
10267	tan	tan
377007	turquoise	tan
55502	yellow	greenyellow
150677	green	darkturquoise
547	green	darkturquoise
152330	red	darkturquoise
57633	lightyellow	darkgrey
8553	brown	brown
859	turquoise	tan
63924	lightyellow	darkgrey
491	turquoise	tan
6854	darkred	darkturquoise
7079	lightyellow	darkgrey
55287	lightgreen	greenyellow
23066	turquoise	tan
79750	blue	blue
7068	turquoise	tan
116135	tan	tan
26032	blue	blue
10777	darkred	darkturquoise
6769	turquoise	tan
3680	brown	brown
6331	darkred	darkturquoise
165904	greenyellow	greenyellow
64651	white	white
54977	yellow	greenyellow
7433	lightyellow	darkgrey
57467	turquoise	tan
25994	darkorange	darkorange
54716	tan	tan
1230	magenta	magenta
1232	lightyellow	darkgrey
79442	turquoise	tan
4634	turquoise	tan
4057	yellow	greenyellow
820	yellow	greenyellow
2779	red	darkturquoise
10991	purple	darkturquoise
8372	yellow	greenyellow
3700	turquoise	tan
23166	magenta	magenta
64943	red	darkturquoise
389125	turquoise	tan
55349	purple	darkturquoise
55540	blue	blue
7474	yellow	greenyellow
142686	turquoise	tan
1776	lightgreen	greenyellow
132200	black	black
56203	tan	tan
285220	red	darkturquoise
1371	greenyellow	greenyellow
50939	blue	blue
131368	royalblue	grey60
64332	white	white
257144	grey	grey
4345	brown	brown
25890	blue	blue
152404	grey60	grey60
64091	turquoise	tan
51725	turquoise	tan
846	red	darkturquoise
111	darkred	darkturquoise
10840	turquoise	tan
28999	magenta	magenta
348807	green	darkturquoise
166012	turquoise	tan
166348	darkred	darkturquoise
2815	yellow	greenyellow
51554	brown	brown
339855	darkgrey	darkgrey
5523	greenyellow	greenyellow
347736	green	darkturquoise
349565	darkgrey	darkgrey
92369	darkred	darkturquoise
92370	blue	blue
344838	darkgrey	darkgrey
26577	magenta	magenta
84107	purple	darkturquoise
7545	turquoise	tan
1360	yellow	greenyellow
5217	turquoise	tan
7401	grey60	grey60
116931	darkgrey	darkgrey
5918	darkgrey	darkgrey
151742	turquoise	tan
64393	grey	grey
8975	turquoise	tan
51555	red	darkturquoise
339829	turquoise	tan
200909	green	darkturquoise
1608	yellow	greenyellow
51726	black	black
9370	lightyellow	darkgrey
5648	grey	grey
8626	turquoise	tan
10686	red	darkturquoise
9076	black	black
344901	grey60	grey60
344905	royalblue	grey60
131578	darkgrey	darkgrey
2814	yellow	greenyellow
347	turquoise	tan
200958	darkgrey	darkgrey
4585	purple	darkturquoise
116211	blue	blue
4241	blue	blue
53834	blue	blue
54360	blue	blue
5522	turquoise	tan
6286	yellow	greenyellow
84448	greenyellow	greenyellow
579	blue	blue
83888	magenta	magenta
27146	turquoise	tan
10333	turquoise	tan
152831	lightyellow	darkgrey
7345	turquoise	tan
22998	tan	tan
152573	magenta	magenta
389207	orange	blue
285525	turquoise	tan
386617	grey60	grey60
2557	red	darkturquoise
152519	purple	darkturquoise
23284	turquoise	tan
2044	red	darkturquoise
339967	orange	blue
260436	grey	grey
401138	blue	blue
10886	darkred	darkturquoise
3576	black	black
6372	lightyellow	darkgrey
5196	yellow	greenyellow
5473	yellow	greenyellow
2921	purple	darkturquoise
2920	blue	blue
2069	white	white
255324	darkred	darkturquoise
152816	pink	brown
419	turquoise	tan
8987	lightyellow	darkgrey
306	yellow	greenyellow
84779	darkgreen	darkgreen
2250	yellow	greenyellow
1758	grey	grey
3381	brown	brown
56955	brown	brown
6696	magenta	magenta
9429	yellow	greenyellow
6622	yellow	greenyellow
2895	red	darkturquoise
658	green	darkturquoise
126	darkred	darkturquoise
125	lightyellow	darkgrey
285556	tan	tan
115265	black	black
133308	grey	grey
6870	green	darkturquoise
64850	green	darkturquoise
84570	green	darkturquoise
1950	lightyellow	darkgrey
5308	turquoise	tan
287	turquoise	tan
9348	green	darkturquoise
51778	tan	tan
171024	turquoise	tan
54532	turquoise	tan
2169	grey60	grey60
11107	darkturquoise	darkturquoise
2247	blue	blue
23657	lightyellow	darkgrey
2996	yellow	greenyellow
2994	yellow	greenyellow
2993	yellow	greenyellow
64399	purple	darkturquoise
646603	green	darkturquoise
4306	darkturquoise	darkturquoise
285423	tan	tan
10586	turquoise	tan
152503	grey	grey
729830	darkred	darkturquoise
201798	turquoise	tan
85462	yellow	greenyellow
54798	grey60	grey60
2743	blue	blue
2891	green	darkturquoise
4886	darkred	darkturquoise
4889	grey60	grey60
1363	black	black
50859	green	darkturquoise
9848	magenta	magenta
442117	darkred	darkturquoise
3148	yellow	greenyellow
11341	blue	blue
140458	tan	tan
53842	grey60	grey60
291	turquoise	tan
27295	turquoise	tan
8470	turquoise	tan
339976	green	darkturquoise
389257	turquoise	tan
57491	darkorange	darkorange
653082	turquoise	tan
79844	purple	darkturquoise
170690	blue	blue
134111	turquoise	tan
108	darkred	darkturquoise
9037	yellow	greenyellow
1501	darkgrey	darkgrey
54463	darkturquoise	darkturquoise
646103	pink	brown
391746	pink	brown
391747	pink	brown
1016	red	darkturquoise
1007	royalblue	grey60
4883	darkred	darkturquoise
153657	blue	blue
133688	red	darkturquoise
202151	green	darkturquoise
2668	turquoise	tan
6167	black	black
345557	darkred	darkturquoise
2690	turquoise	tan
2255	grey60	grey60
11082	lightgreen	greenyellow
5144	magenta	magenta
11174	blue	blue
153562	lightcyan	lightcyan
6606	grey	grey
55814	cyan	cyan
22987	green	darkturquoise
2151	turquoise	tan
23440	green	darkturquoise
23743	turquoise	tan
202333	turquoise	tan
7060	darkred	darkturquoise
1160	turquoise	tan
1404	blue	blue
4208	turquoise	tan
84059	green	darkturquoise
57561	brown	brown
7025	lightgreen	greenyellow
317671	yellow	greenyellow
167410	blue	blue
353189	yellow	greenyellow
85480	purple	darkturquoise
642987	darkred	darkturquoise
206338	turquoise	tan
1036	blue	blue
4015	grey	grey
171019	red	darkturquoise
23305	yellow	greenyellow
9547	darkred	darkturquoise
5307	turquoise	tan
7045	darkgrey	darkgrey
389332	green	darkturquoise
9499	tan	tan
27039	tan	tan
51307	black	black
1958	white	white
641700	darkorange	darkorange
929	magenta	magenta
4695	grey	grey
56114	purple	darkturquoise
56108	red	darkturquoise
9708	turquoise	tan
81848	magenta	magenta
2246	blue	blue
57528	green	darkturquoise
153769	turquoise	tan
389336	royalblue	grey60
11005	grey	grey
389337	darkgrey	darkgrey
5145	red	darkturquoise
1836	blue	blue
1436	magenta	magenta
815	turquoise	tan
91977	turquoise	tan
2878	turquoise	tan
153201	tan	tan
6678	darkgrey	darkgrey
56923	green	darkturquoise
10826	yellow	greenyellow
91937	greenyellow	greenyellow
57451	grey	grey
8817	darkturquoise	darkturquoise
285590	darkgrey	darkgrey
1843	white	white
10814	royalblue	grey60
2264	black	black
83463	yellow	greenyellow
79930	royalblue	grey60
10917	blue	blue
153579	lightyellow	darkgrey
81786	turquoise	tan
26683	greenyellow	greenyellow
1832	blue	blue
55003	lightyellow	darkgrey
221687	darkgrey	darkgrey
221662	turquoise	tan
10486	turquoise	tan
2766	darkgrey	darkgrey
2822	yellow	greenyellow
8359	greenyellow	greenyellow
8366	greenyellow	greenyellow
8358	greenyellow	greenyellow
8352	greenyellow	greenyellow
8364	greenyellow	greenyellow
3017	greenyellow	greenyellow
8367	greenyellow	greenyellow
8339	greenyellow	greenyellow
8344	greenyellow	greenyellow
8343	greenyellow	greenyellow
3013	greenyellow	greenyellow
3012	greenyellow	greenyellow
8345	greenyellow	greenyellow
8365	greenyellow	greenyellow
8970	greenyellow	greenyellow
8969	greenyellow	greenyellow
85235	greenyellow	greenyellow
8340	greenyellow	greenyellow
8329	greenyellow	greenyellow
8357	greenyellow	greenyellow
8331	greenyellow	greenyellow
8342	greenyellow	greenyellow
8330	greenyellow	greenyellow
3009	greenyellow	greenyellow
8354	greenyellow	greenyellow
8368	greenyellow	greenyellow
8332	greenyellow	greenyellow
8348	greenyellow	greenyellow
8336	greenyellow	greenyellow
114821	blue	blue
6992	blue	blue
3105	red	darkturquoise
6941	grey	grey
3107	grey	grey
7917	salmon	salmon
721	black	black
7148	royalblue	grey60
1388	black	black
3123	yellow	greenyellow
3122	midnightblue	midnightblue
3119	darkgrey	darkgrey
6891	midnightblue	midnightblue
5698	lightcyan	lightcyan
9278	darkred	darkturquoise
117283	tan	tan
116369	yellow	greenyellow
401258	yellow	greenyellow
221476	lightyellow	darkgrey
8645	blue	blue
89822	white	white
340205	lightgreen	greenyellow
54209	magenta	magenta
222642	yellow	greenyellow
10930	turquoise	tan
7422	orange	blue
441151	green	darkturquoise
53405	turquoise	tan
10231	greenyellow	greenyellow
9481	darkturquoise	darkturquoise
222611	magenta	magenta
6005	yellow	greenyellow
7180	yellow	greenyellow
10321	yellow	greenyellow
5314	red	darkturquoise
401265	turquoise	tan
90523	turquoise	tan
222584	darkred	darkturquoise
7803	turquoise	tan
1310	darkturquoise	darkturquoise
135152	blue	blue
22999	darkred	darkturquoise
56479	magenta	magenta
1303	yellow	greenyellow
27145	greenyellow	greenyellow
9892	darkred	darkturquoise
112609	turquoise	tan
9096	black	black
1268	red	darkturquoise
2570	grey	grey
2045	darkred	darkturquoise
10690	royalblue	grey60
9457	turquoise	tan
84553	red	darkturquoise
6492	red	darkturquoise
2898	green	darkturquoise
389421	royalblue	grey60
11149	black	black
64208	greenyellow	greenyellow
85413	yellow	greenyellow
117247	grey	grey
2444	darkturquoise	darkturquoise
441168	darkturquoise	darkturquoise
221301	green	darkturquoise
245806	tan	tan
5350	turquoise	tan
2173	green	darkturquoise
10345	turquoise	tan
134829	blue	blue
154215	darkred	darkturquoise
7164	darkturquoise	darkturquoise
9729	turquoise	tan
3908	grey60	grey60
383	yellow	greenyellow
5167	blue	blue
2070	turquoise	tan
154091	blue	blue
4602	yellow	greenyellow
340146	yellow	greenyellow
7128	purple	darkturquoise
167838	turquoise	tan
7957	turquoise	tan
81706	purple	darkturquoise
4988	royalblue	grey60
26230	blue	blue
4142	blue	blue
135138	darkred	darkturquoise
51660	purple	darkturquoise
79981	darkred	darkturquoise
168002	red	darkturquoise
28514	grey	grey
222967	royalblue	grey60
84792	red	darkturquoise
6119	darkgreen	darkgreen
30010	darkred	darkturquoise
85477	green	darkturquoise
4223	turquoise	tan
25928	turquoise	tan
7291	magenta	magenta
8701	black	black
3569	brown	brown
51678	darkred	darkturquoise
3205	brown	brown
644150	turquoise	tan
222166	turquoise	tan
117	tan	tan
63974	orange	blue
223075	green	darkturquoise
10842	royalblue	grey60
23366	blue	blue
6424	grey	grey
5224	green	darkturquoise
816	turquoise	tan
375567	green	darkturquoise
154664	yellow	greenyellow
23242	turquoise	tan
1956	grey60	grey60
2631	turquoise	tan
389493	blue	blue
5260	turquoise	tan
8326	pink	brown
51085	turquoise	tan
1364	green	darkturquoise
9569	black	black
729438	turquoise	tan
6369	red	darkturquoise
3315	turquoise	tan
22932	lightgreen	greenyellow
9863	blue	blue
948	lightyellow	darkgrey
781	turquoise	tan
10371	blue	blue
223117	blue	blue
219578	darkred	darkturquoise
253012	yellow	greenyellow
799	blue	blue
1278	darkgrey	darkgrey
55607	turquoise	tan
51666	tan	tan
5166	turquoise	tan
81392	blue	blue
1577	red	darkturquoise
1551	midnightblue	midnightblue
222950	blue	blue
7036	greenyellow	greenyellow
5649	black	black
10135	darkturquoise	darkturquoise
5506	turquoise	tan
51384	orange	blue
79974	turquoise	tan
389549	green	darkturquoise
142685	turquoise	tan
23553	black	black
401399	darkgrey	darkgrey
2318	greenyellow	greenyellow
4232	turquoise	tan
57016	black	black
669	yellow	greenyellow
1129	green	darkturquoise
57670	blue	blue
23608	yellow	greenyellow
50831	black	black
8972	yellow	greenyellow
3792	greenyellow	greenyellow
1180	turquoise	tan
135946	brown	brown
392138	lightcyan	lightcyan
3757	yellow	greenyellow
168391	red	darkturquoise
7516	greenyellow	greenyellow
1804	green	darkturquoise
2020	grey60	grey60
285888	green	darkturquoise
140545	purple	darkturquoise
9639	lightgreen	greenyellow
9920	grey	grey
9172	turquoise	tan
64478	red	darkturquoise
1672	blue	blue
1669	blue	blue
1667	yellow	greenyellow
728358	yellow	greenyellow
1668	yellow	greenyellow
346702	grey	grey
94137	green	darkturquoise
4481	magenta	magenta
9108	green	darkturquoise
6542	darkturquoise	darkturquoise
4023	lightyellow	darkgrey
6570	lightcyan	lightcyan
2675	yellow	greenyellow
9046	turquoise	tan
2039	yellow	greenyellow
55806	blue	blue
9796	blue	blue
55124	black	black
1960	white	white
157310	turquoise	tan
8794	yellow	greenyellow
6781	yellow	greenyellow
51312	yellow	greenyellow
10863	lightyellow	darkgrey
64641	greenyellow	greenyellow
1191	blue	blue
78986	turquoise	tan
137970	green	darkturquoise
3620	magenta	magenta
6422	tan	tan
286	yellow	greenyellow
492307	turquoise	tan
137902	turquoise	tan
114786	grey60	grey60
5179	turquoise	tan
286183	red	darkturquoise
84675	turquoise	tan
137872	turquoise	tan
23678	black	black
116328	green	darkturquoise
81796	turquoise	tan
9312	red	darkturquoise
157869	green	darkturquoise
56704	turquoise	tan
5569	turquoise	tan
11075	grey	grey
619279	tan	tan
646480	purple	darkturquoise
2167	lightyellow	darkgrey
138046	grey60	grey60
759	yellow	greenyellow
760	lightgreen	greenyellow
761	lightyellow	darkgrey
54714	magenta	magenta
138009	pink	brown
4325	brown	brown
